580,ESTADISTICA DE LA SALUD,441
581,CIENCIAS SOCIALES MENCION GEOGRAFIA,1483
582,ADMINISTRACION,277
583,INFANTERIA,274
584,MECANICA AERONAUTICA,274
585,ESPANOL Y LITERATURA,517
586,TECNOLOGIA POLICIAL,274
587,SECRETARIADO ADMINISTRATIVO,7
588,GERENCIA EDUCACIONAL,517
589,INICIAL,517
590,GESTION DE PROCESOS ADMINISTRACION,441
591,MEDICINA DEL TRABAJO,1605
592,EJECUCION INSTRUMENTAL PERCUSION,1273
593,COMUNICACION SOCIAL,441
594,EJECUCION INSTRUMENTAL VIOLIN,1273
595,EJECUCION INSTRUMENTAL CLARINETE,1273
596,DEFENSA AEROESPACIAL INTEGRAL,253
597,ENSENANZA DE LA QUIMICA,517
598,ELECTRICIDAD Y MANTENIMIENTO,1029
599,CONTRAINTELIGENCIA MILITAR,274
600,VENTAS,1254
601,EJECUCION INSTRUMENTAL GUITARRA POPULAR,1273
602,DESARROLLO CULTURAL,1337
603,ECONOMIA SOCIAL,441
604,PROMOCION Y DIVULGACION DE DERECHOS HUMANOS,441
605,ARTES GRAFICAS,135
606,INGENIERIA,274
607,ENSENANZA DE LA BIOLOGIA,517
608,SISTEMAS,1078
609,TELECOMUNICACIONES,1078
610,INGLES COMO LENGUA EXTRANJERA,1483
611,PRODUCCION INDUSTRIAL,253
612,MANEJO DE EMERGENCIAS Y DESASTRES,1337
613,INVESTIGACION PENAL,253
614,GEODESIA,1078
615,MECANICA DE PRODUCCION,441
616,OPERACIONES INDUSTRIALES,441
617,TRANSPORTE,253
618,IDIOMAS EXTRANJEROS INGLES FRANCES,517
619,DISENO GRAFICO COMPUTARIZADO,441
620,ESTETICA Y BELLEZA INTEGRAL,1337
621,MECANICA DE PRODUCCION,1029
622,POLICIA MILITAR,253
623,ANALISIS Y SISTEMATIZACION DE PROCESOS EXPERIMENTALES,1029
624,EVALUACION EDUCACIONAL,517
625,ODONTOLOGIA RESTAURADORA Y ESTETICA,258
626,LECTURA Y ESCRITURA,220
627,CUBIERTA,280
628,CONSTRUCCION,1078
629,LETRAS,517
630,FORMACION Y ORGANIZACION COMUNAL,1337
631,EDUCACION PRIMARIA,1483
632,ARMAMENTO,1078
633,ANALISIS Y SISTEMATIZACION DE PROCESOS EXPERIMENTALES,441
634,PRODUCCION AGROALIMENTARIA,1029
635,INFORMATICA Y REDES,441
636,GERENCIA DE FINANZAS,7
637,HISTORIA NUESTROAMERICANA,1337
638,PLANIFICACION Y SUPERVISION DE OBRAS CIVILES,1029
639,ELECTRONICA,1078
640,INFORMATICA,542
641,ADMINISTRACION DE BIENES NACIONALES,441
642,EDUCACION INTEGRAL,441
643,MATEMATICAS,1337
644,BANCA Y FINANZAS,441
645,ECONOMIA AGRICOLA,447
646,TRANSPORTE Y SEGURIDAD VIAL,441
647,PLANIFICACION Y DESARROLLO DE LOS RECURSOS HIDRAULICOS,438
648,TERAPIAS MANUALES,1275
649,TRANSPORTE,300
650,ELECTRONICA AERONAUTICA,253
651,RESIDENCIA EN IMPLANTES DENTALES,1301
652,RECURSOS PARA EL APRENDIZAJE,1337
653,SEGURIDAD INTEGRAL,441
654,DEFENSA AEROESPACIAL INTEGRAL,274
655,DOCENCIA EN MATEMATICAS,517
656,MANTENIMIENTO,1029
657,CASTELLANO Y LITERATURA,1337
658,MUSICA,576
659,ARTILLERIA DE CAMPANA,274
660,FONOAUDIOLOGIA,1337
661,BIOLOGIA,648
662,ADMINISTRACION BANCARIA Y FINANCIERA,441
663,GESTION DE MEDIOS Y PRODUCCION AUDIOVISUAL,441
664,RETARDO MENTAL Y DIFICULTADES DEL APRENDIZAJE,544
665,EJECUCION INSTRUMENTAL,1273
666,MERCADEO Y PUBLICIDAD,441
667,DOCENCIA EN EDUCACION PREESCOLAR,517
668,GESTION DE POLITICAS PUBLICAS,441
669,ADMINISTRACION DE ADUANAS Y TRIBUTOS,441
670,MATEMATICA Y FISICA,1337
671,EDUCACION ESPECIAL ANDRAGOGICA,1337
672,GUIA DE ALTA MONTANA Y RESCATE,1337
673,SEGURIDAD ALIMENTARIA Y PRODUCCION DE CAFE,441
